snapped_at,price,market_cap,total_volume
2020-10-03 00:00:00 UTC,0.005323136918220208,4272.121179044968,5.648328382632892
2020-10-04 00:00:00 UTC,0.005323136918220208,4272.121179044968,5.648328382632892
2020-10-05 00:00:00 UTC,0.004950917288048898,8077.665639848285,51.588001102617845
2020-10-06 00:00:00 UTC,0.004887537572274676,21073.10859722802,56.25002876016584
2020-10-07 00:00:00 UTC,0.003912684553453162,18024.681397287306,44.85074188539332
2020-10-08 00:00:00 UTC,0.0037701556789163687,18270.227507293057,40.67047784604791
2020-10-09 00:00:00 UTC,0.004200060852092042,21191.93038722484,29.44177431048511
2020-10-10 00:00:00 UTC,0.004442875554999551,22768.420799938,20.69433429359532
2020-10-11 00:00:00 UTC,0.004523241225223164,23659.82058274969,22.546831946682712
2020-10-12 00:00:00 UTC,0.0043999292850915375,23133.976280396077,7.419152315193578
2020-10-13 00:00:00 UTC,0.004450577581047117,24250.989470411474,35.965290958823275
2020-10-14 00:00:00 UTC,0.004473946183653269,40772.85425046289,44.6795411418768
2020-10-15 00:00:00 UTC,0.0046262294871298945,41979.674182368755,20.515611389861764
2020-10-16 00:00:00 UTC,0.0038583882739136595,35664.08325284121,4650.988385594127
2020-10-17 00:00:00 UTC,0.0034823595783509856,32828.011905030464,4425.281880206873
2020-10-18 00:00:00 UTC,0.0036240987592606796,34295.60571015159,3634.7744918405556
2020-10-19 00:00:00 UTC,0.003553490782079807,33674.920320793,3364.1816032449797
2020-10-20 00:00:00 UTC,0.0030662446954880847,29783.95667631663,5943.70066179157
2020-10-21 00:00:00 UTC,0.002695919377680803,28434.426258878975,7712.260471606306
2020-10-22 00:00:00 UTC,0.002733315775423844,29075.78502688756,5134.763889852705
2020-10-23 00:00:00 UTC,0.002940588301683375,31394.480713551635,6679.966221860776
2020-10-24 00:00:00 UTC,0.0032138583931391467,34443.74978024398,4937.4258146395305
2020-10-25 00:00:00 UTC,0.0030061839034989206,32334.46507977765,5638.046695675744
2020-10-26 00:00:00 UTC,0.0029110789817049392,31446.05365071751,2589.959823969879
2020-10-27 00:00:00 UTC,0.002756790087752219,30161.383657698625,4749.489334791401
2020-10-28 00:00:00 UTC,0.0025533024300810245,28167.538916534395,5189.990525502381
2020-10-29 00:00:00 UTC,0.0024408221936037906,27270.78299999401,5604.394794739581
2020-10-30 00:00:00 UTC,0.0021685467386801964,24328.685183002195,6228.76874012289
2020-10-31 00:00:00 UTC,0.002296161756254171,25742.775763808746,8963.111335780728
2020-11-01 00:00:00 UTC,0.0021503310938466185,24143.916560815927,6321.41955665931
2020-11-02 00:00:00 UTC,0.002230646197711547,25137.833826044745,5777.946917210743
2020-11-03 00:00:00 UTC,0.002193649318669527,24811.909761492414,7611.129772757616
2020-11-04 00:00:00 UTC,0.0020062514469189607,22640.379018561114,6067.203606520628
2020-11-05 00:00:00 UTC,0.0019577024224956326,22120.985907185834,5587.872136728943
2020-11-06 00:00:00 UTC,0.0019969084166935585,22570.519795766628,8488.763804245511
2020-11-07 00:00:00 UTC,0.0024582169854612808,27766.192901533435,14765.758628008341
2020-11-08 00:00:00 UTC,0.0030183475411193956,34350.88618985085,18780.370615983633
2020-11-09 00:00:00 UTC,0.0034655661827469064,39722.01353629479,20054.848842029533
2020-11-10 00:00:00 UTC,0.003590793621787795,40925.09131338909,24249.848052714973
2020-11-11 00:00:00 UTC,0.004379696985449141,51465.494761523594,26500.725883506566
2020-11-12 00:00:00 UTC,0.003473129653424075,40392.45951166929,21669.621033909647
2020-11-13 00:00:00 UTC,0.00317864231496497,36918.940206180254,13615.754006743831
2020-11-14 00:00:00 UTC,0.003910480694953022,45671.266401031164,19285.427007372076
2020-11-15 00:00:00 UTC,0.00416411410857174,49000.807412546776,15011.813045766008
2020-11-16 00:00:00 UTC,0.004013299855158354,47170.20961548123,15758.24076480994
2020-11-17 00:00:00 UTC,0.004349808259073281,50881.68170930292,15142.898452308691
2020-11-18 00:00:00 UTC,0.004507586010021136,52861.98859365455,15670.029834421193
2020-11-19 00:00:00 UTC,0.004251933265599074,50518.94406225374,15462.4594676748
2020-11-20 00:00:00 UTC,0.004256615164099131,49981.660393524355,14965.768920664183
2020-11-21 00:00:00 UTC,0.004018602315102936,47627.64188948248,12913.979474337459
2020-11-22 00:00:00 UTC,0.0037650718530625295,44469.594660646886,12373.93207544917
2020-11-23 00:00:00 UTC,0.00373931480703584,44403.1090598072,10448.867049669812
2020-11-24 00:00:00 UTC,0.003927560446787481,46315.80403224596,10956.366121541225
2020-11-25 00:00:00 UTC,0.0034849155425637278,41309.926666407766,9785.630890362652
2020-11-26 00:00:00 UTC,0.003296600804104041,38703.61813164582,7935.936781961284
2020-11-27 00:00:00 UTC,0.0037389624057920044,44341.51109693067,16559.580497364757
2020-11-28 00:00:00 UTC,0.003562691128563473,42364.91571484732,11617.494465060368
2020-11-29 00:00:00 UTC,0.00360058454955374,42887.77688637288,7465.427226388386
2020-11-30 00:00:00 UTC,0.0037764709368274733,44695.64205043099,8621.255238294865
2020-12-01 00:00:00 UTC,0.0038641145967333065,46129.74520975212,13676.074945703202
2020-12-02 00:00:00 UTC,0.00396700789074202,47261.87801124751,13321.16351415204
2020-12-03 00:00:00 UTC,0.004518074473096318,53826.169410662405,22391.455006170556
2020-12-04 00:00:00 UTC,0.004702777726879713,56028.374302056196,19176.871479944057
2020-12-05 00:00:00 UTC,0.004359166559475757,51950.449196982394,18057.206015074516
2020-12-06 00:00:00 UTC,0.004800228964070561,57261.605208243695,16986.025731234557
